N,Recursive_ms,Iterative_ms,Recursive_comp,Iterative_comp,Winner
100,0.1914,0.184,360,377,Iterative
200,0.4076,0.3826,822,855,Iterative
300,0.6103,0.5915,1317,1428,Iterative
400,0.8835,0.8051,1839,1905,Iterative
500,1.0243,1.0239,2289,2293,Iterative
600,1.2868,1.5807,2934,3154,Recursive
700,1.5414,1.471,3522,3598,Iterative
800,1.7351,1.7531,4077,4212,Recursive
900,2.0039,1.924,4604,4714,Iterative
1000,2.2179,2.2534,5084,5093,Recursive
1100,2.3963,2.5052,5773,6465,Recursive
1200,2.6693,2.6251,6470,6905,Iterative
1289,2.9371,2.9111,7025,7485,Iterative
